m,mean,ci_lo,ci_hi
0.0,0.101,0.07973749999999999,0.121
0.001724137931034483,0.10049999999999999,0.079,0.129
0.003448275862068966,0.095,0.0815,0.10800000000000001
0.005172413793103449,0.174,0.08449999999999999,0.30700000000000005
0.006896551724137932,0.233,0.1535,0.3202625
0.008620689655172415,0.22249999999999998,0.1655,0.2787625
0.010344827586206898,0.36449999999999994,0.2744875,0.454
0.012068965517241381,0.347,0.2845,0.43131249999999993
0.013793103448275864,0.37550000000000006,0.27649999999999997,0.4975749999999999
0.015517241379310346,0.2965,0.25599999999999995,0.327
0.01724137931034483,0.28,0.21200000000000002,0.37578749999999994
0.018965517241379314,0.2565,0.2146875,0.292
0.020689655172413796,0.38,0.27235,0.5479999999999999
0.02241379310344828,0.392,0.2745,0.5548124999999998
0.024137931034482762,0.3675,0.31795,0.41552500000000003
0.025862068965517244,0.2715,0.2114,0.35159999999999997
0.027586206896551727,0.3025,0.2525,0.37207499999999993
0.02931034482758621,0.3215,0.26449999999999996,0.39299999999999996
0.031034482758620693,0.32399999999999995,0.286,0.3470000000000001
0.032758620689655175,0.2685,0.22445,0.3136749999999998
0.03448275862068966,0.315,0.22149999999999997,0.42800000000000005
0.03620689655172414,0.28250000000000003,0.23,0.36128749999999993
0.03793103448275863,0.298,0.22768750000000001,0.368
0.039655172413793106,0.2945,0.2196375,0.3510000000000001
0.04137931034482759,0.39799999999999996,0.33011250000000003,0.4625
0.04310344827586207,0.34900000000000003,0.282925,0.42000000000000004
0.04482758620689656,0.2595,0.204975,0.30599999999999994
0.04655172413793104,0.257,0.20411250000000003,0.3125
0.048275862068965524,0.25549999999999995,0.19499999999999998,0.34249999999999997
0.05,0.2575,0.21600000000000003,0.3055
